"measurementID","measurementDeterminedBy","basisOfRecord","references"
1355,"Juncosa","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1356,"Barbosa","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1357,"Garcia","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1358,"Burger","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1359,"Dryer","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1360,"Grayum","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1361,"Utley","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1362,"Hill","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1363,"Valerio","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1364,"Liesner","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1365,"Brenes","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1366,"Chazdon","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1367,"Standley","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1368,"Moraga","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1369,"Chacon","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1370,"Fuentes","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1371,"Haber","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1372,"Klotz","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1373,"Koptur","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1374,"Gomez","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1375,"Smith","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1376,"Murray","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1377,"Pounds","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1378,"Davidse","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1379,"DArcy","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1380,"von Wedel","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1381,"Dunlap","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1382,"Stimson","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1383,"Fairchild","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1384,"Antonio","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1385,"Knudsen","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1386,"Huft","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1387,"Kennedy","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1388,"Galdames","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1389,"Witherspoon","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1390,"","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1391,"Gomez Pompa","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1392,"Busey","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1393,"McDonagh","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1394,"Blum","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1395,"Mabberley","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1396,"Ordonez","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1397,"Read","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1398,"Loomis","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1399,"Wilbur","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1400,"Vargas","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1401,"Barringer","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1402,"Stevens","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1403,"Moreno","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1404,"Bunting","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1405,"Leon","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1406,"Morales","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1407,"Lent","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1408,"Holdridge","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1409,"Almeida","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1410,"Holm","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1411,"Pittier","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1412,"Neil","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1413,"Cowan","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1414,"Rueda","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1415,"Evans","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1416,"Yuncker","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1417,"Hazlett","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1418,"Blackmore","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1419,"Williams","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1420,"MacDougal","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1421,"Bangham","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1422,"Webster","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1423,"Stevenson","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1424,"Mont","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1425,"Clover","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1426,"Steyermark","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1427,"Gentle","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1428,"Monro","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1429,"Harmon","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1430,"Martinez","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1431,"Holst","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1432,"Watson","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1433,"Contreras","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1434,"Hawkins","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1435,"Dunn","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1436,"Balick","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1437,"Tellez","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1438,"Deam","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1439,"Boutin","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1440,"Kellerman","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1441,"Vanderveen","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1442,"Guadarrama","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1443,"Doyle","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1444,"Miranda","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1445,"Hernandez","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1446,"Estrada","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1447,"Cordero","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1448,"Kress","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1449,"Foster","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1450,"Cook","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1451,"Molina","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1452,"Taylor","PreservedSpecimen","Henderson, A. A multivariate study of Calyptrogyne (Palmae). Systematic Botany 30, 60-83, https://doi.org/10.1600/0363644053661913 (2005)."
1453,"Liang Deng","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1454,"Fu Guoai","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1455,"F. How","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1456,"Lianze Chen","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1457,"Diaoluoshan Expedition","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1458,"Chao-fen, Wei","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1459,"Guo Lixiu","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1460,"Li Zexian","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1461,"W. T. Tsang","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1462,"A. Pételot","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1463,"A. Henderson","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1464,"","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1465,"Qifang Liang","PreservedSpecimen","Henderson, A. A revision of Chuniophoenix (Arecaceae). Phytotaxa 218, 163-170 (2015)."
1466,"Gentry","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1467,"Lundell","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1468,"Moore","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1469,"Croat","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1470,"Steyermark","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1471,"Gentle","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1472,"Manriquez","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1473,"Cook","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1474,"Hernández","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1475,"Dwyer","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1476,"Balick","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1477,"Sousa","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1478,"Sutton","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1479,"Contreras","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1480,"Bartlett","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1481,"Mendoza","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1482,"Bangham","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1483,"Moreno","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1484,"Saunders","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1485,"Spellman","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1486,"Balslev","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1487,"Williams","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1488,"Yuncker","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1489,"Sinaca","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1490,"Wendt","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1491,"Siebert","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1492,"Matuda","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1493,"Harmon","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1494,"Cowan","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1495,"Evans","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1496,"Martínez","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1497,"Taylor","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1498,"Liebmann","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1499,"Dransfield","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1500,"Tipaz","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1501,"Beck","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1502,"de Nevers","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1503,"Fuchs","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1504,"Mori","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1505,"Borchsenius","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1506,"Barfod","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1507,"Jativa","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1508,"Fonnegra","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1509,"Clark","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1510,"Rubio","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1511,"Grayum","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1512,"Hammel","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1513,"Aguilar","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1514,"Mora","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1515,"Castro","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1516,"Henderson","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1517,"Malagón","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1518,"Huashikat","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1519,"Fleck","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1520,"Zarucchi","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1521,"Berlin","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1522,"Kohn","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1523,"Aulestia","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1524,"Poole","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1525,"Hoffman","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1526,"Davidse","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1527,"Bernal","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1528,"Wurdack","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1529,"Cárdenas","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1530,"Madriñán","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1531,"Acevedo","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1532,"Pabon","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1533,"Silva","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
1534,"Trail","PreservedSpecimen","Henderson, A. A revision of Desmoncus (Arecaceae). Phytotaxa 35, 1-88 (2011)."
